,ownerOfSeal,label_clean,length,印,章,之印,之章,私印,印信,考藏印,藏书印,藏书之印,书画印,图书印
432,徐光济,家在夫容溪北沙水濒南,10,,,,,,,,,,,
433,赵之谦,赵之谦印,4,1,,,,,,,,,,
434,蓝瑛,蓝瑛之印,4,1,,1,,,,,,,,
435,许麟庐,老麟,2,,,,,,,,,,,
436,吴大澂,白云山樵,4,,,,,,,,,,,
437,杨容林,杨,1,,,,,,,,,,,
438,陈洪绶,陈洪绶印,4,1,,,,,,,,,,
439,黄慎,黄慎,2,,,,,,,,,,,
440,傅抱石,造化吾师,4,,,,,,,,,,,
441,梅清,阿渊,2,,,,,,,,,,,
442,蒲华,芙蓉盦,3,,,,,,,,,,,
443,宁斧成,宁,1,,,,,,,,,,,
444,张大千,无限离情无穷江水无边山色,12,,,,,,,,,,,
445,齐白石,汗淋学士,4,,,,,,,,,,,
446,姜宸英,恐修名之不立,6,,,,,,,,,,,
447,江寒汀,寒汀,2,,,,,,,,,,,
448,姚燮,复道人,3,,,,,,,,,,,
449,鲁迅,周树人印,4,1,,,,,,,,,,
450,黎简,黎简言事,4,,,,,,,,,,,
451,马一浮,蠲戏老人,4,,,,,,,,,,,
452,石鲁,石鲁,2,,,,,,,,,,,
453,黄秋园,大觉子,3,,,,,,,,,,,
454,沈树镛,灵寿华馆,4,,,,,,,,,,,
455,陈鸿寿,陈,1,,,,,,,,,,,
456,吴骞,吴骞幼字益郎,6,,,,,,,,,,,
457,姜宸英,西溟,2,,,,,,,,,,,
458,姜宸英,姜宸英印,4,1,,,,,,,,,,
459,叶潞渊,叶丰私印,4,1,,,,1,,,,,,
460,余任天,五十以后学描花,7,,,,,,,,,,,
461,罗振玉,雪翁,2,,,,,,,,,,,
462,达受,达受之印,4,1,,1,,,,,,,,
463,郭尚先,兰石,2,,,,,,,,,,,
464,华岩,家住小东园,5,,,,,,,,,,,
465,袁克文,八经阁,3,,,,,,,,,,,
466,萧蜕庵,听松庵行者,5,,,,,,,,,,,
467,王个喉,启之,2,,,,,,,,,,,
468,梅清,皆大欢喜,4,,,,,,,,,,,
469,张大千,除一切苦,4,,,,,,,,,,,
470,朱彝尊,竹垞,2,,,,,,,,,,,
471,王铎,太史氏,3,,,,,,,,,,,
472,陈半丁,半丁涂抹,4,,,,,,,,,,,
473,余任天,老复丁,3,,,,,,,,,,,
474,唐云,唐云,2,,,,,,,,,,,
475,寿石工,山阴寿鈢石工,6,,,,,,,,,,,
476,任预,预,1,,,,,,,,,,,
477,田世光,公炜书画,4,,,,,,,,,,,
478,岑槠,岑镕私印,4,1,,,,1,,,,,,
479,梅清,瞿山人,3,,,,,,,,,,,
480,谢稚柳,稚柳,2,,,,,,,,,,,
481,谢稚柳,稚柳,2,,,,,,,,,,,
482,翁方纲,方纲,2,,,,,,,,,,,
483,榭稚柳,谢屐,2,,,,,,,,,,,
484,谢稚柳,稚柳,2,,,,,,,,,,,
485,陆俨少,俨少长寿,4,,,,,,,,,,,
486,来楚生,初升,2,,,,,,,,,,,
487,石鲁,石鲁,2,,,,,,,,,,,
488,赵之谦,赵之谦印,4,1,,,,,,,,,,
489,程庭鹭,如无文字,4,,,,,,,,,,,
490,叶恭焕,叶氏菉竹堂藏书,7,,,,,,,,,,,
491,梅清,臣清,2,,,,,,,,,,,
492,李可染,可染,2,,,,,,,,,,,
493,黄宾虹,宾虹学人,4,,,,,,,,,,,
494,赵鹤琴,天行健,3,,,,,,,,,,,
495,吴湖帆,吴,1,,,,,,,,,,,
496,董邦达,邦达,2,,,,,,,,,,,
497,余任天,西湖长,3,,,,,,,,,,,
498,吴昌硕,吴昌石自号石人子又号石敢当,13,,,,,,,,,,,
499,赵之谦,为五斗米折腰,6,,,,,,,,,,,
500,徐渭仁,上海徐紫珊收藏书画金石书籍印,14,1,,,,,,,,,,
501,赵云壑,壑公无咎,4,,,,,,,,,,,
